seq_id	loci
@M05522:50:000000000-BW89L:1:1104:14895:14172	TRB
@M05522:50:000000000-BW89L:1:1104:15581:27233	TRB
@M05522:50:000000000-BW89L:1:2107:25152:23554	TRB
@M05522:50:000000000-BW89L:1:1113:7363:13575	TRB
@M05522:50:000000000-BW89L:1:2101:12258:4956	TRB
@M05522:50:000000000-BW89L:1:1102:16173:18474	TRA
@M05522:50:000000000-BW89L:1:2103:24290:10174	TRB
@M05522:50:000000000-BW89L:1:1108:28947:12187	TRB
@M05522:50:000000000-BW89L:1:1105:19323:22321	TRB
@M05522:50:000000000-BW89L:1:2113:22886:3462	TRA
@M05522:50:000000000-BW89L:1:1105:19749:6072	TRB
@M05522:50:000000000-BW89L:1:2110:25569:18067	TRB
@M05522:50:000000000-BW89L:1:1107:16533:22707	TRB
@M05522:50:000000000-BW89L:1:2103:10140:14706	TRB
@M05522:50:000000000-BW89L:1:2101:13335:9097	TRB
@M05522:50:000000000-BW89L:1:2102:20050:2245	TRA
@M05522:50:000000000-BW89L:1:1101:4724:21569	TRB
@M05522:50:000000000-BW89L:1:2110:25887:10284	TRB
@M05522:50:000000000-BW89L:1:1101:4563:12022	TRB
@M05522:50:000000000-BW89L:1:2110:25140:12771	TRB
@M05522:50:000000000-BW89L:1:2112:12114:18364	TRB
@M05522:50:000000000-BW89L:1:1113:18121:8180	TRB
@M05522:50:000000000-BW89L:1:1109:23094:8682	TRB
@M05522:50:000000000-BW89L:1:1111:17521:12036	TRB
@M05522:50:000000000-BW89L:1:1103:10482:16497	TRB
@M05522:50:000000000-BW89L:1:1103:14445:20234	TRA
@M05522:50:000000000-BW89L:1:1112:19330:25954	TRB
@M05522:50:000000000-BW89L:1:1109:22767:5959	TRB
@M05522:50:000000000-BW89L:1:2109:26269:13588	TRB
@M05522:50:000000000-BW89L:1:2113:25434:6090	TRB
@M05522:50:000000000-BW89L:1:1114:21404:27732	TRB
@M05522:50:000000000-BW89L:1:1109:9240:19798	TRB
@M05522:50:000000000-BW89L:1:2105:23971:4115	TRA
@M05522:50:000000000-BW89L:1:1104:23519:15408	TRB
@M05522:50:000000000-BW89L:1:1110:13957:17519	TRB
@M05522:50:000000000-BW89L:1:2112:17637:18623	TRB
@M05522:50:000000000-BW89L:1:1114:4758:20319	TRB
@M05522:50:000000000-BW89L:1:1105:21372:4252	TRB
@M05522:50:000000000-BW89L:1:1112:24192:20765	TRB
@M05522:50:000000000-BW89L:1:1113:8275:17231	TRB
@M05522:50:000000000-BW89L:1:2108:5132:6652	TRB
@M05522:50:000000000-BW89L:1:1112:18353:2378	TRB
@M05522:50:000000000-BW89L:1:2109:8137:7400	TRB
@M05522:50:000000000-BW89L:1:1106:16633:6543	TRB
@M05522:50:000000000-BW89L:1:1108:23167:9941	TRA
@M05522:50:000000000-BW89L:1:1103:26045:20124	TRA
@M05522:50:000000000-BW89L:1:1104:21863:16299	TRB
@M05522:50:000000000-BW89L:1:2114:5358:22617	TRA
@M05522:50:000000000-BW89L:1:2102:25917:7280	TRB
@M05522:50:000000000-BW89L:1:2103:24513:6542	TRB
@M05522:50:000000000-BW89L:1:1110:13199:24227	TRB
@M05522:50:000000000-BW89L:1:1106:14642:13063	TRB
@M05522:50:000000000-BW89L:1:1104:23889:5181	TRA
@M05522:50:000000000-BW89L:1:1102:21076:5047	TRB
@M05522:50:000000000-BW89L:1:2114:13218:19940	TRB
@M05522:50:000000000-BW89L:1:2104:9106:24819	TRB
@M05522:50:000000000-BW89L:1:1106:10857:12569	TRB
@M05522:50:000000000-BW89L:1:1107:10541:24928	TRA
@M05522:50:000000000-BW89L:1:2110:6871:15385	TRB
@M05522:50:000000000-BW89L:1:1105:23640:19743	TRB
@M05522:50:000000000-BW89L:1:2110:17423:15258	TRB
@M05522:50:000000000-BW89L:1:2107:18082:12169	TRB
@M05522:50:000000000-BW89L:1:1109:13241:9239	TRA
@M05522:50:000000000-BW89L:1:2109:20280:28084	TRB
@M05522:50:000000000-BW89L:1:1105:15396:26416	TRB
@M05522:50:000000000-BW89L:1:1103:15111:22445	TRB
@M05522:50:000000000-BW89L:1:1112:10287:5675	TRB
@M05522:50:000000000-BW89L:1:1109:24109:24565	TRA
@M05522:50:000000000-BW89L:1:1102:12912:20821	TRB
@M05522:50:000000000-BW89L:1:2101:9217:17117	TRA
@M05522:50:000000000-BW89L:1:1101:5080:19998	TRB
@M05522:50:000000000-BW89L:1:2110:25406:11175	TRB
@M05522:50:000000000-BW89L:1:2112:19041:7165	TRB
@M05522:50:000000000-BW89L:1:1107:17647:28547	TRB
@M05522:50:000000000-BW89L:1:2107:10346:16925	TRB
@M05522:50:000000000-BW89L:1:1114:19139:9966	TRB
@M05522:50:000000000-BW89L:1:1109:18505:20408	TRB
@M05522:50:000000000-BW89L:1:1105:27576:21232	TRB
@M05522:50:000000000-BW89L:1:2113:12667:25335	TRB
@M05522:50:000000000-BW89L:1:2102:15402:10168	TRB
@M05522:50:000000000-BW89L:1:2105:18616:17798	TRB
@M05522:50:000000000-BW89L:1:2109:14003:26578	TRB
@M05522:50:000000000-BW89L:1:2114:27136:12250	TRB
@M05522:50:000000000-BW89L:1:2114:21433:18746	TRB
@M05522:50:000000000-BW89L:1:2113:26614:20944	TRB
@M05522:50:000000000-BW89L:1:1109:26344:22050	TRB
@M05522:50:000000000-BW89L:1:2104:11566:11173	TRB
@M05522:50:000000000-BW89L:1:2110:23520:11626	TRB
@M05522:50:000000000-BW89L:1:2101:12676:10763	TRB
@M05522:50:000000000-BW89L:1:1104:10553:21498	TRA
@M05522:50:000000000-BW89L:1:1103:21777:17680	TRA
@M05522:50:000000000-BW89L:1:1101:9206:17251	TRB
@M05522:50:000000000-BW89L:1:1101:10225:8528	TRB
@M05522:50:000000000-BW89L:1:1105:12214:7791	TRB
@M05522:50:000000000-BW89L:1:2112:19757:6081	TRB
@M05522:50:000000000-BW89L:1:1113:7699:15827	TRB
@M05522:50:000000000-BW89L:1:1113:23191:14121	TRB
@M05522:50:000000000-BW89L:1:2109:9854:11547	TRA
@M05522:50:000000000-BW89L:1:2110:17917:4001	TRB
@M05522:50:000000000-BW89L:1:1103:15842:11517	TRB
@M05522:50:000000000-BW89L:1:1111:17496:2778	TRB
@M05522:50:000000000-BW89L:1:1107:26065:11428	TRB
@M05522:50:000000000-BW89L:1:1113:4368:18555	TRB
